t,x,v,a,id,length,lane,oldLane,pos,event
152.0,64.33,44.7693,0.02046222424681774,12,5,0,7,64.33,enter lane
154.0,1919.51,50.0531,-0.047504447549890944,9,6,3,,919.51,timer
154.0,1117.95,42.8119,0.060701414709931435,10,6,3,,117.95,timer
154.0,669.71,44.6913,0.01634997012814153,11,6,2,,669.71,timer
154.0,155.87,46.7693,1,12,5,0,7,155.87,timer
155.0,203.14,47.7693,1,12,5,0,7,203.14,leave lane
155.0,203.14,47.7693,1,12,5,0,,203.14,done change slow
156.0,2019.52,49.9581,-0.047504447549890944,9,6,3,,1019.52,leave lane
156.0,2019.52,49.9581,-0.047504447549890944,9,6,,,1019.52,end
156.0,1203.7,42.9333,0.060701414709931435,10,6,3,,203.7,timer
156.0,759.13,44.7239,0.01634997012814153,11,6,2,,759.13,timer
156.0,250.91,47.7659,-0.00678219964618322,12,5,0,,250.91,timer
156.0,250.91,47.7659,-0.00678219964618322,12,5,0,,250.91,change slow
156.0,250.91,47.7659,-0.00678219964618322,12,5,2,0,250.91,enter lane
158.0,1289.69,43.0547,0.060701414709931435,10,6,3,,289.69,timer
158.0,848.61,44.7566,0.01634997012814153,11,6,2,,848.61,timer
158.0,348.44,49.7659,1,12,5,2,0,348.44,timer
159.0,398.71,50.7659,1,12,5,2,0,398.71,leave lane
159.0,398.71,50.7659,1,12,5,2,,398.71,done change slow
160.0,1375.92,43.1761,0.060701414709931435,10,6,3,,375.92,timer
160.0,938.15,44.7892,0.01634997012814153,11,6,2,,938.15,timer
160.0,449.47,50.7622,-0.007356907683763024,12,5,2,,449.47,timer
162.0,1462.39,43.2975,0.060701414709931435,10,6,3,,462.39,timer
162.0,1027.76,44.8219,0.01634997012814153,11,6,2,,1027.76,leave lane
162.0,1027.76,44.8219,0.01634997012814153,11,6,3,,27.75999999999999,enter lane
162.0,1027.76,44.8219,0.01634997012814153,11,6,3,,27.75999999999999,timer
162.0,550.97,50.7328,-0.02207072305128907,12,5,2,,550.97,timer
162.1445543648636,0,45.46930101517681,0,13,5,2,,0,enter lane
164.0,1549.11,43.4189,0.060701414709931435,10,6,3,,549.11,timer
164.0,1117.44,44.8546,0.01634997012814153,11,6,3,,117.44,timer
164.0,652.38,50.6739,-0.03678453841881512,12,5,2,,652.38,timer
164.0,84.37,45.474,0.005059307296197239,13,5,2,,84.37,timer
166.0,1636.07,43.5403,0.060701414709931435,10,6,3,,636.07,timer
166.0,1207.18,44.8873,0.01634997012814153,11,6,3,,207.18,timer
166.0,753.64,50.5856,-0.05149835378634117,12,5,2,,753.64,timer
166.0,175.33,45.4896,0.010512775940483696,13,5,2,,175.33,timer
168.0,1723.27,43.6617,0.060701414709931435,10,6,3,,723.27,timer
168.0,1296.99,44.92,0.01634997012814153,11,6,3,,296.99,timer
168.0,854.7,50.4703,-0.06021642668102209,12,5,2,,854.7,timer
168.0,266.33,45.5161,0.015966244584770153,13,5,2,,266.33,timer
170.0,1810.71,43.7831,0.060701414709931435,10,6,3,,810.71,timer
170.0,1386.86,44.9527,0.01634997012814153,11,6,3,,386.86,timer
170.0,955.52,50.3499,-0.06021642668102209,12,5,2,,955.52,timer
170.0,357.4,45.5535,0.02141971322905661,13,5,2,,357.4,timer
172.0,1898.4,43.9045,0.060701414709931435,10,6,3,,898.4,timer
172.0,1476.8,44.9854,0.01634997012814153,11,6,3,,476.8,timer
172.0,1056.1,50.2295,-0.06021642668102209,12,5,2,,1056.1,leave lane
172.0,1056.1,50.2295,-0.06021642668102209,12,5,3,,56.09999999999991,enter lane
